"hs_symbol","gene_id","SYMBOL","CpG","rank"
"SOCS3","AMEX60DD031441","Socs3.1","cg12564910",302
"KCNH8","AMEX60DD055337","Kcnh8","cg14255803",303
"OLFM1","AMEX60DD050715","Olfm1","cg13484553",305
"HDX","AMEX60DD037627","Hdx","cg05985706",306
"NRXN3","AMEX60DD011291","Nrxn3","cg04899689",309
"FOXP1","AMEX60DD023939","Foxp1","cg14287475",310
"CHD9","AMEX60DD017728","Chd9","cg14155777",311
"CHD9","AMEX60DD017729","Chd9.1","cg14155777",311
"DENND1A","AMEX60DD050557","Dennd1a","cg01750916",312
"HIBADH","AMEX60DD021960","Hibadh","cg01823853",313
"TAOK1","AMEX60DD054817","Taok1","cg18018509",314
"EBF3","AMEX60DD046404","Ebf3","cg14748273",315
"EBF3","AMEX60DD052723","Ebf3.1","cg14748273",315
"UTP11","AMEX60DD005832","Utp11","cg06645865",317
"PAX2","AMEX60DD051628","Pax2","cg05108018",318
"SOX5","AMEX60DD006750","Sox5","cg10378662",319
"ELAVL2","AMEX60DD044481","Elavl2","cg16121787",320
"OLFM1","AMEX60DD050715","Olfm1","cg12505751",323
"MYCN","AMEX60DD033177","Mycn","cg05121253",324
"CAMKMT","AMEX60DD035946","Camkmt","cg25637862",326
"DAZAP1","AMEX60DD013501","Dazap1","cg26495571",327
"NR4A2","AMEX60DD055832","Nr4a2","cg27242082",328
"CSDE1","AMEX60DD008836","Csde1","cg10418984",329
"PROX1","AMEX60DD025278","Prox1","cg22506418",330
"PROX1","AMEX60DD036083","Prox1.1","cg22506418",330
"SETD5","AMEX60DD023214","Setd5","cg26019380",331
"GPAT3","AMEX60DD043859","Gpat3","cg15920677",332
"RBBP6","AMEX60DD020900","Rbbp6","cg16525315",333
"RSBN1","AMEX60DD008865","Rsbn1","cg14419939",336
"CNTLN","AMEX60DD043394","Cntln","cg06454786",337
"HIBADH","AMEX60DD021960","Hibadh","cg19961913",339
"CASZ1","AMEX60DD051153","Casz1","cg24488067",340
"CASZ1","AMEX60DD053420","Casz1.1","cg24488067",340
"DIAPH3","AMEX60DD048907","Diaph3","cg12201163",342
"DIAPH3","AMEX60DD048908","Diaph3.1","cg12201163",342
"DIAPH3","AMEX60DD048909","Diaph3.2","cg12201163",342
"NPAS3","AMEX60DD024711","Npas3.2","cg18410307",344
"NPAS3","AMEX60DD012207","Npas3","cg18410307",344
"NPAS3","AMEX60DD012209","Npas3.1","cg18410307",344
"FGF8","AMEX60DD052891","Fgf8","cg01065776",345
"TCF7L2","AMEX60DD053152","Tcf7l2","cg00678608",346
"BNC2","AMEX60DD043399","Bnc2","cg17320921",347
"VRK2","AMEX60DD035418","Vrk2","cg27263887",348
"ARID1B","AMEX60DD034958","Arid1b","cg26899365",349
"POU2F1","AMEX60DD047046","Pou2f1","cg24734899",351
"ARIH1","AMEX60DD003876","Arih1","cg26714337",352
"ATAD2B","AMEX60DD004950","Atad2b","cg01608205",353
"ATAD2B","AMEX60DD033043","Atad2b.1","cg01608205",353
"TENM3","AMEX60DD045345","Tenm3.1","cg17749256",354
"TENM3","AMEX60DD045344","Tenm3","cg17749256",354
"ATP6V1C1","AMEX60DD040243","Atp6v1c1","cg02503114",355
"PROX1","AMEX60DD025278","Prox1","cg21753180",357
"PROX1","AMEX60DD036083","Prox1.1","cg21753180",357
"TFAP2A","AMEX60DD038319","Tfap2a","cg24206172",358
"HOXC4","AMEX60DD029500","Hoxc4.1","cg17797814",359
"HOXC4","AMEX60DD029499","Hoxc4","cg17797814",359
"TSHZ3","AMEX60DD016709","Tshz3","cg25338102",360
"AGAP1","AMEX60DD055479","Agap1.1","cg11007962",361
"AGAP1","AMEX60DD055475","Agap1","cg11007962",361
"AUTS2","AMEX60DD027966","Auts2","cg15007115",362
"AUTS2","AMEX60DD054212","Auts2.1","cg15007115",362
"AUTS2","AMEX60DD054215","Auts2.3","cg15007115",362
"AUTS2","AMEX60DD054214","Auts2.2","cg15007115",362
"BCL11B","AMEX60DD011386","Bcl11b","cg06630761",363
"TNRC6C","AMEX60DD030755","Tnrc6c","cg14962578",364
"PSMD14","AMEX60DD055782","Psmd14","cg15237969",365
"CSNK1A1","AMEX60DD027743","Csnk1a1","cg21623089",367
"BNC2","AMEX60DD043399","Bnc2","cg17096964",371
"ETV6","AMEX60DD006976","Etv6","cg02071692",372
"NRXN3","AMEX60DD011291","Nrxn3","cg09985350",373
