"gene_id","hs_symbol","SYMBOL"
"AMEX60DD000050","BRI3BP","Bri3bp"
"AMEX60DD000051","DHX37","Dhx37"
"AMEX60DD000052",NA,"AM000052"
"AMEX60DD000053","UBC","Ubc"
"AMEX60DD000054","UBC","Ubc.1"
"AMEX60DD000055","SCARB1","Scarb1"
"AMEX60DD000056",NA,"AM000056"
"AMEX60DD000057",NA,"AM000057"
"AMEX60DD000058","ZNF268","Znf268.4"
"AMEX60DD000059","ZNF268","Znf268.5"
"AMEX60DD000060","ZNF84","Znf84"
"AMEX60DD000061",NA,"OJAV_G00236990"
"AMEX60DD000062",NA,"D5F01_LYC25363"
"AMEX60DD000063","CASR","Casr"
"AMEX60DD000064",NA,"AM000064"
"AMEX60DD000065","PIWIL1","Piwil1"
"AMEX60DD000066",NA,"AM000066"
"AMEX60DD000067","RIMBP2","Rimbp2"
"AMEX60DD000068",NA,"AM000068"
"AMEX60DD000069",NA,"AM000069"
"AMEX60DD000070",NA,"AM000070"
"AMEX60DD000071",NA,"AM000071"
"AMEX60DD000072","RAN","Ran"
"AMEX60DD000073",NA,"AM000073"
"AMEX60DD000074","STX2","Stx2"
"AMEX60DD000075","RAN","Ran.1"
"AMEX60DD000076",NA,"AM000076"
"AMEX60DD000077",NA,"AM000077"
"AMEX60DD000078",NA,"AM000078"
"AMEX60DD000079",NA,"AM000079"
"AMEX60DD000080",NA,"AM000080"
"AMEX60DD000081","ADGRD1","Adgrd1"
"AMEX60DD000082","ADGRD1","Adgrd1.1"
"AMEX60DD000083",NA,"AM000083"
"AMEX60DD000084","ADGRD1","Adgrd1.2"
"AMEX60DD000085","ADGRD1","Adgrd1.3"
"AMEX60DD000086","ADGRD1","Adgrd1.4"
"AMEX60DD000087",NA,"LOC112843268"
"AMEX60DD000088",NA,"ROHU_011646"
"AMEX60DD000089",NA,"AM000089"
"AMEX60DD000090",NA,"AM000090"
"AMEX60DD000091",NA,"AM000091"
"AMEX60DD000092",NA,"AM000092"
"AMEX60DD000093",NA,"AM000093"
"AMEX60DD000094",NA,"AM000094"
"AMEX60DD000095","DNAI1","Dnai1"
"AMEX60DD000096",NA,"AM000096"
"AMEX60DD000097","PRG4","Prg4"
"AMEX60DD000098",NA,"AM000098"
"AMEX60DD000099",NA,"E1301_TTI003913"
"AMEX60DD000100",NA,"AM000100"
"AMEX60DD000101",NA,"AM000101"
"AMEX60DD000102",NA,"M959_06098"
"AMEX60DD000103","SFSWAP","Sfswap"
"AMEX60DD000104","SFSWAP","Sfswap.1"
"AMEX60DD000105",NA,"AM000105"
"AMEX60DD000106",NA,"LOC115396492"
"AMEX60DD000107","ULK1","Ulk1"
"AMEX60DD000108","MMP17","Mmp17"
"AMEX60DD000109","BLOC1S2","Bloc1s2"
"AMEX60DD000110","ULK1","Ulk1.1"
"AMEX60DD000111",NA,"LOC115100672"
"AMEX60DD000112",NA,"LOC103188037"
"AMEX60DD000113",NA,"AM000113"
"AMEX60DD000114",NA,"LOC103188037.1"
"AMEX60DD000115",NA,"DPX16_4744"
"AMEX60DD000116",NA,"AM000116"
"AMEX60DD000117",NA,"AM000117"
"AMEX60DD000118",NA,"AM000118"
"AMEX60DD000119","MMP17","Mmp17.1"
"AMEX60DD000120",NA,"AM000120"
"AMEX60DD000121","PPIL2","Ppil2"
"AMEX60DD000122","PUS1","Pus1"
"AMEX60DD000123","RTL1","Rtl1"
"AMEX60DD000124","EP400","Ep400"
"AMEX60DD000125",NA,"AM000125"
"AMEX60DD000126","YPEL1","Ypel1"
"AMEX60DD000127",NA,"AM000127"
"AMEX60DD000128","PPIL2","Ppil2.1"
"AMEX60DD000129","HIRA","Hira"
"AMEX60DD000130",NA,"AM000130"
"AMEX60DD000131","MRPL40","Mrpl40"
"AMEX60DD000132",NA,"LOC115100255"
"AMEX60DD000133","UFD1","Ufd1"
"AMEX60DD000134","CDC45","Cdc45"
"AMEX60DD000135",NA,"AM000135"
"AMEX60DD000136","CLDN5","Cldn5"
"AMEX60DD000137","SEPTIN2","Septin2"
"AMEX60DD000138","PGBD4","Pgbd4"
"AMEX60DD000139",NA,"AM000139"
"AMEX60DD000140",NA,"AM000140"
"AMEX60DD000141","SEPTIN5","Septin5"
"AMEX60DD000142",NA,"AM000142"
"AMEX60DD000143",NA,"AM000143"
"AMEX60DD000144",NA,"AM000144"
"AMEX60DD000145","GP1BB","Gp1bb"
"AMEX60DD000146","CAMKK1","Camkk1"
"AMEX60DD000147","TBX1","Tbx1"
"AMEX60DD000148","GNB1L","Gnb1l"
"AMEX60DD000149",NA,"LOC111947684"
"AMEX60DD000150","TXNRD2","Txnrd2"
"AMEX60DD000151","TXNRD2","Txnrd2.1"
"AMEX60DD000152","TXNRD2","Txnrd2.2"
"AMEX60DD000153","TXNRD2","Txnrd2.3"
"AMEX60DD000154",NA,"AM000154"
"AMEX60DD000155","COMT","Comt"
"AMEX60DD000156",NA,"AM000156"
"AMEX60DD000157",NA,"AM000157"
"AMEX60DD000158",NA,"AM000158"
"AMEX60DD000159",NA,"LOC115355879"
"AMEX60DD000160","ARVCF","Arvcf"
"AMEX60DD000161","LOC105371409","Loc105371409"
"AMEX60DD000162",NA,"AM000162"
"AMEX60DD000163","TANGO2","Tango2"
"AMEX60DD000164","DGCR8","Dgcr8"
"AMEX60DD000165",NA,"AM000165"
"AMEX60DD000166","TRMT2A","Trmt2a"
"AMEX60DD000167","RANBP1","Ranbp1"
"AMEX60DD000168",NA,"AM000168"
"AMEX60DD000169",NA,"AM000169"
"AMEX60DD000170","ZDHHC8","Zdhhc8"
"AMEX60DD000171","PGAM5","Pgam5"
"AMEX60DD000172","ANKLE2","Ankle2"
"AMEX60DD000173","ANKLE2","Ankle2.1"
"AMEX60DD000174","GOLGA3","Golga3"
"AMEX60DD000175",NA,"AM000175"
"AMEX60DD000176",NA,"AM000176"
"AMEX60DD000177",NA,"AM000177"
"AMEX60DD000178","GOLGA3","Golga3.1"
"AMEX60DD000179","ANKLE2","Ankle2.2"
"AMEX60DD000180","ANKLE2","Ankle2.3"
"AMEX60DD000181","GOLGA3","Golga3.2"
"AMEX60DD000182",NA,"AM000182"
"AMEX60DD000183",NA,"LOC115073368"
"AMEX60DD000184",NA,"LOC104632589"
"AMEX60DD000185",NA,"AM000185"
"AMEX60DD000186",NA,"LOC114595149.1"
"AMEX60DD000187",NA,"AM000187"
"AMEX60DD000188",NA,"AM000188"
"AMEX60DD000189",NA,"AM000189"
"AMEX60DD000190",NA,"AM000190"
"AMEX60DD000191",NA,"AM000191"
"AMEX60DD000192",NA,"AM000192"
"AMEX60DD000193","CHFR","Chfr"
"AMEX60DD000194",NA,"AM000194"
"AMEX60DD000195","CHFR","Chfr.1"
"AMEX60DD000196",NA,"AM000196"
"AMEX60DD000197",NA,"AM000197"
"AMEX60DD000198","FBRSL1","Fbrsl1"
"AMEX60DD000199",NA,"AM000199"
"AMEX60DD000200",NA,"AM000200"
"AMEX60DD000201",NA,"AM000201"
"AMEX60DD000202",NA,"AM000202"
"AMEX60DD000203",NA,"AM000203"
"AMEX60DD000204",NA,"AM000204"
"AMEX60DD000205",NA,"AM000205"
"AMEX60DD000206",NA,"AM000206"
"AMEX60DD000207",NA,"AM000207"
"AMEX60DD000208",NA,"AM000208"
"AMEX60DD000209",NA,"XELAEV_18041766MG"
"AMEX60DD000210","GALNT9","Galnt9"
"AMEX60DD000211",NA,"AM000211"
"AMEX60DD000212",NA,"AM000212"
"AMEX60DD000213",NA,"AM000213"
"AMEX60DD000214",NA,"AM000214"
"AMEX60DD000215","COMT","Comt.1"
"AMEX60DD000216","NOC4L","Noc4l"
"AMEX60DD000217","BANF1","Banf1"
"AMEX60DD000218","MAPK1","Mapk1"
"AMEX60DD000219",NA,"AM000219"
"AMEX60DD000220",NA,"AM000220"
"AMEX60DD000221",NA,"AM000221"
"AMEX60DD000222",NA,"AM000222"
"AMEX60DD000223","PPM1F","Ppm1f"
"AMEX60DD000224","TOP3B","Top3b"
"AMEX60DD000225",NA,"AM000225"
"AMEX60DD000226",NA,"ZBED9"
"AMEX60DD000227",NA,"AM000227"
"AMEX60DD000228",NA,"AM000228"
"AMEX60DD000229",NA,"LOC115372353"
"AMEX60DD000230",NA,"AM000230"
"AMEX60DD000231",NA,"AM000231"
"AMEX60DD000232",NA,"LOC106732794"
"AMEX60DD000233",NA,"AM000233"
"AMEX60DD000234",NA,"AM000234"
"AMEX60DD000235",NA,"AM000235"
"AMEX60DD000236","SDF2L1","Sdf2l1"
"AMEX60DD000237",NA,"LOC115073555"
"AMEX60DD000238",NA,"AM000238"
"AMEX60DD000239",NA,"AM000239"
"AMEX60DD000240",NA,"AM000240"
"AMEX60DD000241",NA,"AM000241"
"AMEX60DD000242",NA,"AM000242"
"AMEX60DD000243",NA,"SH_R122_JSM5CED3F"
"AMEX60DD000244",NA,"PARPI_0011654"
"AMEX60DD000245","TOP3B","Top3b.1"
"AMEX60DD000246",NA,"AM000246"
"AMEX60DD000247","HIC2","Hic2"
"AMEX60DD000248",NA,"AM000248"
"AMEX60DD000249",NA,"AM000249"
"AMEX60DD000250","PI4KA","Pi4ka"
"AMEX60DD000251",NA,"HCG_1999854"
"AMEX60DD000252","SERPIND1","Serpind1"
"AMEX60DD000253","SNAP29","Snap29"
"AMEX60DD000254","CLTC","Cltc"
"AMEX60DD000255",NA,"AM000255"
"AMEX60DD000256","CLTCL1","Cltcl1"
"AMEX60DD000257","SLC25A1","Slc25a1"
"AMEX60DD000258",NA,"AM000258"
"AMEX60DD000259","SBSPON","Sbspon"
"AMEX60DD000260","THADA","Thada"
"AMEX60DD000261",NA,"AM000261"
"AMEX60DD000262",NA,"AM000262"
"AMEX60DD000263",NA,"AM000263"
"AMEX60DD000264","GSC2","Gsc2"
"AMEX60DD000265","ESS2","Ess2"
"AMEX60DD000266","TSSK2","Tssk2"
"AMEX60DD000267","DGCR2","Dgcr2"
"AMEX60DD000268",NA,"AM000268"
"AMEX60DD000269",NA,"GSONMT00048522001"
"AMEX60DD000270",NA,"LOC115073307"
"AMEX60DD000271",NA,"AM000271"
"AMEX60DD000272",NA,"LOC109282924"
"AMEX60DD000273","IGLC1","Iglc1"
"AMEX60DD000274",NA,"AM000274"
"AMEX60DD000275",NA,"LOC107507477"
"AMEX60DD000276",NA,"LOC107112699"
"AMEX60DD000277",NA,"AM000277"
"AMEX60DD000278",NA,"LOC107112699.1"
"AMEX60DD000279",NA,"LOC107125085"
"AMEX60DD000280",NA,"LOC107112699.2"
"AMEX60DD000281",NA,"LOC107112698"
"AMEX60DD000282",NA,"LOC114586993"
"AMEX60DD000283",NA,"PARPI_0032739"
"AMEX60DD000284",NA,"AM000284"
"AMEX60DD000285",NA,"IG"
"AMEX60DD000286",NA,"IGL@"
"AMEX60DD000287",NA,"MONAX_5E002063"
"AMEX60DD000288",NA,"TREES_T100009970"
"AMEX60DD000289",NA,"IG.1"
"AMEX60DD000290",NA,"LOC107526776"
"AMEX60DD000291",NA,"LOC102250240"
"AMEX60DD000292",NA,"IGLV"
"AMEX60DD000293",NA,"IGLV.1"
"AMEX60DD000294",NA,"IGLV.2"
"AMEX60DD000295",NA,"LOC102250240.1"
"AMEX60DD000296",NA,"LOC607368"
"AMEX60DD000297",NA,"LOC102250240.2"
"AMEX60DD000298",NA,"LOC102939850"
"AMEX60DD000299",NA,"AM000299"
"AMEX60DD000300",NA,"LOC102250240.3"
"AMEX60DD000301",NA,"LOC111092690"
"AMEX60DD000302","IGLV5-48","Iglv5-48"
"AMEX60DD000303",NA,"LOC107112707"
"AMEX60DD000304",NA,"AM000304"
"AMEX60DD000305",NA,"AM000305"
"AMEX60DD000306",NA,"AM000306"
"AMEX60DD000307",NA,"AM000307"
"AMEX60DD000308","VPREB1","Vpreb1"
"AMEX60DD000309",NA,"LOC100560921"
"AMEX60DD000310",NA,"LOC113837993"
"AMEX60DD000311",NA,"LOC100336780"
"AMEX60DD000312",NA,"LOC102250240.4"
"AMEX60DD000313",NA,"UY3_02104"
"AMEX60DD000314",NA,"D623_10000469"
"AMEX60DD000315",NA,"PARPI_0029472"
"AMEX60DD000316",NA,"UY3_02104.1"
"AMEX60DD000317",NA,"LOC101951136"
"AMEX60DD000318",NA,"AM000318"
"AMEX60DD000319",NA,"LOC101951136.1"
"AMEX60DD000320",NA,"IGLV.3"
"AMEX60DD000321",NA,"BN2614_LOCUS2"
"AMEX60DD000322",NA,"BN2614_LOCUS2.1"
"AMEX60DD000323",NA,"XB5865391"
"AMEX60DD000324",NA,"LOC107112706"
"AMEX60DD000325",NA,"AM000325"
"AMEX60DD000326",NA,"IG.2"
"AMEX60DD000327",NA,"IGLV81"
"AMEX60DD000328",NA,"IG.3"
"AMEX60DD000329",NA,"IGL@.1"
"AMEX60DD000330",NA,"LOC102250240.5"
"AMEX60DD000331",NA,"LOC101951136.2"
"AMEX60DD000332",NA,"LOC102944433"
"AMEX60DD000333",NA,"LOC102461666"
"AMEX60DD000334","AIMP1","Aimp1"
"AMEX60DD000335","AIMP1","Aimp1.1"
"AMEX60DD000336","MMP11","Mmp11"
"AMEX60DD000337","SMARCB1","Smarcb1"
"AMEX60DD000338","DERL2","Derl2"
"AMEX60DD000339",NA,"AM000339"
"AMEX60DD000340","CHCHD10","Chchd10"
"AMEX60DD000341",NA,"C11H22ORF15"
"AMEX60DD000342",NA,"AM000342"
"AMEX60DD000343",NA,"AM000343"
"AMEX60DD000344",NA,"IGLV.4"
"AMEX60DD000345",NA,"EGK_02836"
"AMEX60DD000346",NA,"LOC115661072"
"AMEX60DD000347",NA,"LOC102944433.1"
"AMEX60DD000348",NA,"UY3_02104.2"
"AMEX60DD000349",NA,"AM000349"
"AMEX60DD000350",NA,"LOC102939850.1"
"AMEX60DD000351",NA,"LOC105706714"
"AMEX60DD000352",NA,"LOC115661064"
"AMEX60DD000353",NA,"LOC102939850.2"
"AMEX60DD000354",NA,"LOC102939850.3"
"AMEX60DD000355",NA,"AM000355"
"AMEX60DD000356",NA,"AM000356"
"AMEX60DD000357",NA,"AM000357"
"AMEX60DD000358",NA,"BN2614_LOCUS2.2"
"AMEX60DD000359",NA,"AM000359"
"AMEX60DD000360",NA,"AM000360"
"AMEX60DD000361",NA,"AM000361"
"AMEX60DD000362","SLC2A11","Slc2a11"
"AMEX60DD000363","SLC2A11","Slc2a11.1"
"AMEX60DD000364","SLC2A11","Slc2a11.2"
"AMEX60DD000365",NA,"AM000365"
"AMEX60DD000366",NA,"AM000366"
"AMEX60DD000367","SLC2A11","Slc2a11.3"
"AMEX60DD000368",NA,"AM000368"
"AMEX60DD000369",NA,"AM000369"
"AMEX60DD000370",NA,"LOC111772992"
"AMEX60DD000371","SLC2A11","Slc2a11.4"
"AMEX60DD000372",NA,"AM000372"
"AMEX60DD000373","SLC2A11","Slc2a11.5"
"AMEX60DD000374","SLC2A9","Slc2a9"
"AMEX60DD000375",NA,"AM000375"
"AMEX60DD000376","SLC2A9","Slc2a9.1"
"AMEX60DD000377",NA,"AM000377"
"AMEX60DD000378",NA,"DR999_PMT02494"
"AMEX60DD000379",NA,"AM000379"
"AMEX60DD000380",NA,"AM000380"
"AMEX60DD000381",NA,"AM000381"
"AMEX60DD000382",NA,"AM000382"
"AMEX60DD000383",NA,"AM000383"
"AMEX60DD000384","IGLV5-48","Iglv5-48.1"
"AMEX60DD000385","GTF2IRD2","Gtf2ird2"
"AMEX60DD000386",NA,"AM000386"
"AMEX60DD000387",NA,"AM000387"
"AMEX60DD000388","COMT","Comt.2"
"AMEX60DD000389","SLC2A9","Slc2a9.2"
"AMEX60DD000390",NA,"ROHU_010238"
"AMEX60DD000391",NA,"LOC116219103"
"AMEX60DD000392","SLC2A9","Slc2a9.3"
"AMEX60DD000393","SLC2A11","Slc2a11.6"
"AMEX60DD000394","SLC2A9","Slc2a9.4"
"AMEX60DD000395",NA,"AM000395"
"AMEX60DD000396",NA,"E1301_TTI003913.1"
"AMEX60DD000397",NA,"AM000397"
"AMEX60DD000398","URAD","Urad"
"AMEX60DD000399",NA,"AM000399"
"AMEX60DD000400","DDT","Ddt"
"AMEX60DD000401",NA,"AM000401"
"AMEX60DD000402",NA,"AM000402"
"AMEX60DD000403",NA,"AM000403"
"AMEX60DD000404","CABIN1","Cabin1"
"AMEX60DD000405",NA,"AM000405"
"AMEX60DD000406",NA,"AM000406"
"AMEX60DD000407",NA,"AM000407"
"AMEX60DD000408",NA,"AM000408"
"AMEX60DD000409","TBX6","Tbx6"
"AMEX60DD000410","HARBI1","Harbi1"
"AMEX60DD000411",NA,"AM000411"
"AMEX60DD000412","CRKL","Crkl"
"AMEX60DD000413",NA,"ANAPL_03341"
"AMEX60DD000414","KLHL22","Klhl22"
"AMEX60DD000415","MED15","Med15"
"AMEX60DD000416","CCDC74A","Ccdc74a"
"AMEX60DD000417","SMPD4","Smpd4"
"AMEX60DD000418",NA,"AM000418"
"AMEX60DD000419",NA,"AM000419"
"AMEX60DD000420","GGT5","Ggt5"
"AMEX60DD000421",NA,"AM000421"
"AMEX60DD000422",NA,"AM000422"
"AMEX60DD000423",NA,"AM000423"
"AMEX60DD000424",NA,"E1301_TTI003913.2"
"AMEX60DD000425",NA,"AM000425"
"AMEX60DD000426",NA,"AM000426"
"AMEX60DD000427",NA,"AM000427"
"AMEX60DD000428",NA,"AM000428"
"AMEX60DD000429",NA,"AM000429"
"AMEX60DD000430",NA,"AM000430"
"AMEX60DD000431","GGT5","Ggt5.1"
"AMEX60DD000432",NA,"LOC115480694"
"AMEX60DD000433","LRRC75B","Lrrc75b"
"AMEX60DD000434","LRRC75B","Lrrc75b.1"
"AMEX60DD000435",NA,"AM000435"
"AMEX60DD000436","LRRC75B","Lrrc75b.2"
"AMEX60DD000437",NA,"AM000437"
"AMEX60DD000438","LRRC75A","Lrrc75a"
"AMEX60DD000439","SNRPD3","Snrpd3"
"AMEX60DD000440","GUCD1","Gucd1"
"AMEX60DD000441",NA,"DPX16_9183"
"AMEX60DD000442",NA,"LOC107385925"
"AMEX60DD000443",NA,"AM000443"
"AMEX60DD000444","UPB1","Upb1"
"AMEX60DD000445",NA,"AM000445"
"AMEX60DD000446",NA,"AM000446"
"AMEX60DD000447",NA,"AM000447"
"AMEX60DD000448","SPECC1L","Specc1l"
"AMEX60DD000449",NA,"AM000449"
"AMEX60DD000450","BCR","Bcr"
"AMEX60DD000451",NA,"AM000451"
"AMEX60DD000452",NA,"AM000452"
"AMEX60DD000453","RAB36","Rab36"
"AMEX60DD000454",NA,"AM000454"
"AMEX60DD000455",NA,"AM000455"
"AMEX60DD000456",NA,"AM000456"
"AMEX60DD000457","RAB36","Rab36.1"
"AMEX60DD000458",NA,"AM000458"
"AMEX60DD000459","RSPH14","Rsph14"
"AMEX60DD000460","IDI1","Idi1"
"AMEX60DD000461","GNAZ","Gnaz"
"AMEX60DD000462","SLC5A1","Slc5a1"
"AMEX60DD000463",NA,"AM000463"
"AMEX60DD000464","YWHAH","Ywhah"
"AMEX60DD000465","DEPDC5","Depdc5"
"AMEX60DD000466",NA,"AM000466"
"AMEX60DD000467","PRR14L","Prr14l"
"AMEX60DD000468",NA,"AM000468"
"AMEX60DD000469",NA,"FD755_009355"
"AMEX60DD000470",NA,"ROHU_010238.1"
"AMEX60DD000471","RTL1","Rtl1.1"
"AMEX60DD000472",NA,"LOC101950947"
"AMEX60DD000473","PISD","Pisd"
"AMEX60DD000474","SFI1","Sfi1"
"AMEX60DD000475","EIF4ENIF1","Eif4enif1"
"AMEX60DD000476","DRG1","Drg1"
"AMEX60DD000477","PATZ1","Patz1"
"AMEX60DD000478",NA,"AM000478"
"AMEX60DD000479","PIK3IP1","Pik3ip1"
"AMEX60DD000480",NA,"AM000480"
"AMEX60DD000481",NA,"AM000481"
"AMEX60DD000482","LIMK2","Limk2"
"AMEX60DD000483",NA,"LOC115100791"
"AMEX60DD000484","RNF185","Rnf185"
"AMEX60DD000485",NA,"LOC105527942"
"AMEX60DD000486",NA,"AM000486"
"AMEX60DD000487","HNF1A","Hnf1a"
"AMEX60DD000488","SPPL3","Sppl3"
"AMEX60DD000489","ACADS","Acads"
"AMEX60DD000490","UNC119B","Unc119b"
"AMEX60DD000491",NA,"LOC115401458"
"AMEX60DD000492","MLEC","Mlec"
"AMEX60DD000493",NA,"AM000493"
"AMEX60DD000494",NA,"AM000494"
"AMEX60DD000495",NA,"DPX16_12726"
"AMEX60DD000496","HCFC1","Hcfc1"
"AMEX60DD000497","CABP1","Cabp1"
"AMEX60DD000498","POP5","Pop5"
"AMEX60DD000499","RNF10","Rnf10"
"AMEX60DD000500","COQ5","Coq5"
"AMEX60DD000501",NA,"LOC110406354"
"AMEX60DD000502",NA,"AM000502"
"AMEX60DD000503",NA,"AM000503"
"AMEX60DD000504","TRIAP1","Triap1"
"AMEX60DD000505","GATC","Gatc"
"AMEX60DD000506",NA,"AM000506"
"AMEX60DD000507","COX6A1","Cox6a1"
"AMEX60DD000508",NA,"AM000508"
"AMEX60DD000509","MSI1","Msi1"
"AMEX60DD000510",NA,"AM000510"
"AMEX60DD000511","PLA2G1B","Pla2g1b"
"AMEX60DD000512","PLA2G1B","Pla2g1b.1"
"AMEX60DD000513",NA,"AM000513"
"AMEX60DD000514","LOC107985532","Loc107985532"
"AMEX60DD000515",NA,"AM000515"
"AMEX60DD000516",NA,"AM000516"
"AMEX60DD000517",NA,"AM000517"
"AMEX60DD000518","WDR3","Wdr3"
"AMEX60DD000519","SIRT4","Sirt4"
"AMEX60DD000520","EEF1A1","Eef1a1"
"AMEX60DD000521","EEF1A1","Eef1a1.1"
"AMEX60DD000522","EEF1A1","Eef1a1.2"
"AMEX60DD000523","SIRT4","Sirt4.1"
"AMEX60DD000524","SIRT4","Sirt4.2"
"AMEX60DD000525","PXN","Pxn"
"AMEX60DD000526","RPLP0","Rplp0"
"AMEX60DD000527",NA,"DR999_PMT12737"
"AMEX60DD000528",NA,"LOC111559199"
"AMEX60DD000529",NA,"LOC111559199.1"
"AMEX60DD000530","RAB35","Rab35"
"AMEX60DD000531",NA,"AM000531"
"AMEX60DD000532","BICDL1","Bicdl1"
"AMEX60DD000533","VMP1","Vmp1"
"AMEX60DD000534",NA,"AM000534"
"AMEX60DD000535","CIT","Cit"
"AMEX60DD000536",NA,"AM000536"
"AMEX60DD000537",NA,"AM000537"
"AMEX60DD000538",NA,"AM000538"
"AMEX60DD000539","PRKAB1","Prkab1"
"AMEX60DD000540",NA,"AM000540"
"AMEX60DD000541",NA,"AM000541"
"AMEX60DD000542",NA,"AM000542"
"AMEX60DD000543",NA,"AM000543"
"AMEX60DD000544","TMEM233","Tmem233"
"AMEX60DD000545","NCOR2","Ncor2"
"AMEX60DD000546",NA,"AM000546"
"AMEX60DD000547","NCOR2","Ncor2.1"
"AMEX60DD000548","NCOR2","Ncor2.2"
"AMEX60DD000549",NA,"AM000549"
"AMEX60DD000550",NA,"AM000550"
"AMEX60DD000551",NA,"AM000551"
"AMEX60DD000552","RFLNA","Rflna"
"AMEX60DD000553",NA,"AM000553"
"AMEX60DD000554","DNAH10","Dnah10"
"AMEX60DD000555","DNAH10","Dnah10.1"
"AMEX60DD000556",NA,"AM000556"
"AMEX60DD000557",NA,"AM000557"
"AMEX60DD000558",NA,"DPX16_23792"
"AMEX60DD000559","CCDC92","Ccdc92"
"AMEX60DD000560",NA,"AM000560"
"AMEX60DD000561","DNAH10","Dnah10.2"
"AMEX60DD000562","DNAH10","Dnah10.3"
"AMEX60DD000563",NA,"AM000563"
"AMEX60DD000564",NA,"OJAV_G00236990.1"
"AMEX60DD000565","ATP6V0A2","Atp6v0a2"
"AMEX60DD000566","TCTN2","Tctn2"
"AMEX60DD000567",NA,"AM000567"
"AMEX60DD000568",NA,"LOC108716549"
"AMEX60DD000569","GTF2H3","Gtf2h3"
"AMEX60DD000570","EIF2B1","Eif2b1"
"AMEX60DD000571","DDX55","Ddx55"
"AMEX60DD000572","TMED2","Tmed2"
"AMEX60DD000573","RILPL1","Rilpl1"
"AMEX60DD000574",NA,"LOC116219103.1"
"AMEX60DD000575","SNRNP35","Snrnp35"
"AMEX60DD000576","RILPL2","Rilpl2"
"AMEX60DD000577",NA,"AM000577"
"AMEX60DD000578",NA,"AM000578"
"AMEX60DD000579","KMT5A","Kmt5a"
"AMEX60DD000580",NA,"LOC106705792"
"AMEX60DD000581",NA,"AM000581"
"AMEX60DD000582","SBNO1","Sbno1"
"AMEX60DD000583","SBNO1","Sbno1.1"
"AMEX60DD000584",NA,"AM000584"
"AMEX60DD000585","CDK2AP1","Cdk2ap1"
"AMEX60DD000586",NA,"C13H12ORF65"
"AMEX60DD000587","MPHOSPH9","Mphosph9"
"AMEX60DD000588",NA,"AM000588"
"AMEX60DD000589",NA,"AM000589"
"AMEX60DD000590",NA,"AM000590"
"AMEX60DD000591","PITPNM2","Pitpnm2"
"AMEX60DD000592","ARL6IP4","Arl6ip4"
"AMEX60DD000593","OGFOD2","Ogfod2"
"AMEX60DD000594","GIN1","Gin1"
"AMEX60DD000595","CIRBP","Cirbp"
"AMEX60DD000596","ABCB9","Abcb9"
"AMEX60DD000597","VPS37B","Vps37b"
"AMEX60DD000598","HIP1R","Hip1r"
"AMEX60DD000599","CCDC62","Ccdc62"
"AMEX60DD000600",NA,"AM000600"
"AMEX60DD000601","DENR","Denr"
"AMEX60DD000602","HCAR3","Hcar3"
"AMEX60DD000603","OGFOD2","Ogfod2.1"
"AMEX60DD000604","PITPNM2","Pitpnm2.1"
