rank;CpG;rank.neg;rank.pos;PRC1_Amin;PRC2_Amin;stackHMM;cor;pvalueStudent;qvalueStudent;nPresentSamples;SE;SpeciesCommonName;SpeciesLatinName;Z;CHR;Gene;bp;P;hg
17;cg23783364;9;;0;0;ReprPC4;-0,373885809;0,000161694;0,035433841;97;0,088255622;Axolotl;Ambystoma mexicanum;-3,772386468;4;NKX6-1;84443569;0,000161694;hg38
18;cg21745073;10;;0;0;BivProm3;-0,373810261;0,000162228;0,035433841;97;0,088261418;Axolotl;Ambystoma mexicanum;-3,77156379;18;MIR4527;47594916;0,000162228;hg38
19;cg07182240;;9;0;0;TxEnh8;0,371674715;0,000178019;0,035433841;97;0,088424755;Axolotl;Ambystoma mexicanum;3,748325871;2;ZEB2;144402440;0,000178019;hg38
20;cg09531328;11;;0;0;TxEnh1;-0,371536484;0,000179088;0,035433841;97;0,088435296;Axolotl;Ambystoma mexicanum;-3,746822833;1;LMO4;87338151;0,000179088;hg38
21;cg08167912;;10;0;0;Acet4;0,371060437;0,000182818;0,035433841;97;0,088471565;Axolotl;Ambystoma mexicanum;3,74164762;2;LINC01798;66696596;0,000182818;hg38
22;cg06797643;;11;0;0;EnhWk4;0,370023645;0,00019119;0,035433841;97;0,088550396;Axolotl;Ambystoma mexicanum;3,730381979;3;ROBO2;77150230;0,00019119;hg38
23;cg18063694.2;12;;0;0;Acet8;-0,368274044;0,000206126;0,035433841;97;0,088682925;Axolotl;Ambystoma mexicanum;-3,711388212;1;HCRTR1;31620884;0,000206126;hg38
24;cg08774648;;12;0;0;ReprPC7;0,368151449;0,000207212;0,035433841;97;0,088692187;Axolotl;Ambystoma mexicanum;3,710058114;16;ZNF423;49548611;0,000207212;hg38
25;cg22413784;;13;0;0;EnhA19;0,368041114;0,000208194;0,035433841;97;0,088700521;Axolotl;Ambystoma mexicanum;3,70886113;3;BOC;113241700;0,000208194;hg38
26;cg02764578;;14;0;1;BivProm2;0,367511121;0,00021297;0,035433841;97;0,088740518;Axolotl;Ambystoma mexicanum;3,703112589;4;LINC01097;13529378;0,00021297;hg38
27;cg19894585;13;;0;1;BivProm2;-0,363293761;0,000254748;0,040131242;97;0,089056731;Axolotl;Ambystoma mexicanum;-3,657438691;6;POU3F2;98844045;0,000254748;hg38
28;cg26575674;14;;0;0;EnhA5;-0,362772321;0,000260409;0,040131242;97;0,089095575;Axolotl;Ambystoma mexicanum;-3,651800009;22;LOC110091768;26893259;0,000260409;hg38
29;cg02762470;15;;0;0;EnhA17;-0,361997476;0,000269035;0,040131242;97;0,089153192;Axolotl;Ambystoma mexicanum;-3,643424529;7;AUTS2;70704941;0,000269035;hg38
30;cg07724495;16;;0;0;Tx6;-0,35720418;0,000328524;0,047346315;97;0,089506882;Axolotl;Ambystoma mexicanum;-3,591703058;1;RPS6KC1;213242332;0,000328524;hg38
31;cg09257340;17;;0;0;EnhA17;-0,355873787;0,000347062;0,047346315;97;0,089604214;Axolotl;Ambystoma mexicanum;-3,577374939;9;TLE4;79395960;0,000347062;hg38
32;cg15054687;18;;0;0;TxEnh4;-0,355239744;0,000356232;0,047346315;97;0,089650473;Axolotl;Ambystoma mexicanum;-3,570550525;17;WSB1;27307857;0,000356232;hg38
33;cg24989443;19;;0;0;EnhA4;-0,3544981;0,00036724;0,047346315;97;0,089704478;Axolotl;Ambystoma mexicanum;-3,562571347;1;DPYD-AS1;97145449;0,00036724;hg38
34;cg13487071;;15;0;0;EnhWk3;0,353683744;0,000379688;0,047346315;97;0,089763647;Axolotl;Ambystoma mexicanum;3,553814063;7;SNORA25B;115679307;0,000379688;hg38
35;cg26140919;20;;0;0;PromF4;-0,353466497;0,000383073;0,047346315;97;0,089779409;Axolotl;Ambystoma mexicanum;-3,5514786;4;UBE2K;39698384;0,000383073;hg38
36;cg21231503;21;;0;0;Acet2;-0,351269595;0,000418904;0,050336677;97;0,089938255;Axolotl;Ambystoma mexicanum;-3,527878738;1;ESRRG;216563358;0,000418904;hg38
37;cg23497109;22;;0;0;EnhWk8;-0,350213106;0,00043721;0,051116416;97;0,090014291;Axolotl;Ambystoma mexicanum;-3,516540771;9;ASTN2;116929847;0,00043721;hg38
38;cg12480296;23;;0;0;ReprPC6;-0,348826669;0,000462347;0,052632855;97;0,090113726;Axolotl;Ambystoma mexicanum;-3,501672851;1;CAMTA1;7677682;0,000462347;hg38
39;cg11568013;24;;0;0;Quies3;-0,347304026;0,000491478;0,054514496;97;0,090222475;Axolotl;Ambystoma mexicanum;-3,485358542;5;CTNND2;10972743;0,000491478;hg38
40;cg20705103;25;;0;0;EnhA18;-0,345309301;0,00053219;0,055329692;97;0,090364222;Axolotl;Ambystoma mexicanum;-3,464008541;13;GSX1;27745123;0,00053219;hg38
41;cg04434607;26;;0;0;ReprPC7;-0,345074409;0,000537182;0,055329692;97;0,09038086;Axolotl;Ambystoma mexicanum;-3,461496104;12;CUX2;111077553;0,000537182;hg38
42;cg10982864;;16;0;0;Tx7;0,344678058;0,000545703;0,055329692;97;0,090408908;Axolotl;Ambystoma mexicanum;3,45725746;10;KAT6B;74975961;0,000545703;hg38
43;cg03370924;;17;0;0;TxEx1;0,34425541;0,000554926;0,055329692;97;0,090438782;Axolotl;Ambystoma mexicanum;3,452738696;17;DERL2;5481375;0,000554926;hg38
44;cg08863388;;18;0;0;TxEnh5;0,343900571;0,00056278;0,055329692;97;0,090463835;Axolotl;Ambystoma mexicanum;3,448945787;8;PLAG1;56167438;0,00056278;hg38
45;cg27456541;;19;0;0;TxEnh4;0,342263455;0,000600349;0,057711677;97;0,090579086;Axolotl;Ambystoma mexicanum;3,431456747;22;TEF;41387466;0,000600349;hg38
46;cg15928284;27;;0;0;ReprPC5;-0,341126691;0,000627772;0,059035976;97;0,09065879;Axolotl;Ambystoma mexicanum;-3,419322749;10;PAX2;100781332;0,000627772;hg38
47;cg14907557;28;;0;1;BivProm1;-0,339152358;0,000678141;0,062415792;97;0,090796589;Axolotl;Ambystoma mexicanum;-3,398267518;6;SLC35D3;136922717;0,000678141;hg38
48;cg15215577;;20;0;0;TxEx3;0,335926448;0,000768448;0,069091037;97;0,091020021;Axolotl;Ambystoma mexicanum;3,363916569;8;FGFR1;38423170;0,000768448;hg38
49;cg25636514;;21;0;0;Tx5;0,335154726;0,00079162;0,069091037;97;0,091073155;Axolotl;Ambystoma mexicanum;3,355708349;6;ATXN1;16299140;0,00079162;hg38
50;cg06718658;;22;0;0;TxWk1;0,334555955;0,000810037;0,069091037;97;0,091114297;Axolotl;Ambystoma mexicanum;3,349342166;8;CA8;60265968;0,000810037;hg38
51;cg08397726;;23;0;0;EnhA6;0,334119134;0,000823718;0,069091037;97;0,091144265;Axolotl;Ambystoma mexicanum;3,344699214;7;AUTS2;70433001;0,000823718;hg38
52;cg06412451;;24;0;0;TxEx1;0,333704648;0,000836895;0,069091037;97;0,091172664;Axolotl;Ambystoma mexicanum;3,340294737;19;ILF3;10678637;0,000836895;hg38
53;cg00616272;;25;0;0;EnhA17;0,33325756;0,000851324;0,069091037;97;0,091203258;Axolotl;Ambystoma mexicanum;3,335544975;7;DGKB;14340622;0,000851324;hg38
54;cg04677464;;26;0;0;Acet6;0,332684182;0,00087016;0,069091037;97;0,091242434;Axolotl;Ambystoma mexicanum;3,329455288;5;RANBP17;171269365;0,00087016;hg38
55;cg00510450;;27;0;0;TxWk2;0,33243574;0,00087844;0,069091037;97;0,091259387;Axolotl;Ambystoma mexicanum;3,326817274;5;MCTP1;94892284;0,00087844;hg38
56;cg04564383;;28;0;0;EnhA17;0,330558831;0,000943347;0,071836143;97;0,091387058;Axolotl;Ambystoma mexicanum;3,306899735;3;LOC101928882;180744588;0,000943347;hg38
57;cg23410163;29;;0;0;TxEnh8;-0,33046917;0,000946554;0,071836143;97;0,091393139;Axolotl;Ambystoma mexicanum;-3,305948781;2;MAPRE3;27022224;0,000946554;hg38
58;cg02951257;30;;0;1;BivProm1;-0,328580067;0,001016484;0,075813266;97;0,091520874;Axolotl;Ambystoma mexicanum;-3,285924;13;FAM155A;107866416;0,001016484;hg38
59;cg26163447;;29;0;0;EnhWk1;0,327582512;0,001055281;0,077372821;97;0,09158803;Axolotl;Ambystoma mexicanum;3,275358266;7;AUTS2;70171766;0,001055281;hg38
60;cg12178922;31;;0;0;ReprPC3;-0,323935472;0,001208867;0,087156505;97;0,091831814;Axolotl;Ambystoma mexicanum;-3,236779679;2;THORLNC;118183067;0,001208867;hg38
61;cg08496735;;30;1;0;EnhA9;0,320059492;0,00139413;0,097127828;97;0,09208791;Axolotl;Ambystoma mexicanum;3,195863554;1;ZBTB18;244052231;0,00139413;hg38
62;cg17977572;;31;0;0;TxWk1;0,319519761;0,001421878;0,097127828;97;0,092123327;Axolotl;Ambystoma mexicanum;3,19017277;1;ERI3;44257165;0,001421878;hg38
63;cg27311928;;32;0;0;Quies3;0,319507366;0,001422521;0,097127828;97;0,09212414;Axolotl;Ambystoma mexicanum;3,190042104;14;LIN52;74188790;0,001422521;hg38
64;cg17425313;;33;0;0;EnhWk4;0,31894742;0,001451848;0,097127828;97;0,092160818;Axolotl;Ambystoma mexicanum;3,184139965;14;BCL11B;99000219;0,001451848;hg38
65;cg16118889;32;;1;1;ReprPC1;-0,318543514;0,001473342;0,097127828;97;0,092187236;Axolotl;Ambystoma mexicanum;-3,179883682;14;LINC01551;28778417;0,001473342;hg38
66;cg20218251;;34;0;0;TxEnh6;0,318384418;0,001481887;0,097127828;97;0,092197632;Axolotl;Ambystoma mexicanum;3,17820741;1;SDCCAG8;243415908;0,001481887;hg38
67;cg17357006;;35;0;0;Tx7;0,316461624;0,001588775;0,101714385;97;0,092322871;Axolotl;Ambystoma mexicanum;3,157959655;10;VTI1A;112538434;0,001588775;hg38
68;cg10217408;33;;0;0;TxEx2;-0,315913188;0,001620518;0,101714385;97;0,092358454;Axolotl;Ambystoma mexicanum;-3,152188212;1;RBBP5;205095004;0,001620518;hg38
69;cg03750331;34;;0;0;Acet5;-0,315281873;0,001657767;0,101714385;97;0,092399338;Axolotl;Ambystoma mexicanum;-3,145546674;8;ZFPM2-AS1;105732333;0,001657767;hg38
70;cg12910788;35;;0;0;Quies3;-0,315234209;0,001660611;0,101714385;97;0,092402421;Axolotl;Ambystoma mexicanum;-3,145045331;3;CADPS;62474264;0,001660611;hg38
71;cg26989810;;36;0;0;EnhA18;0,315086852;0,00166943;0,101714385;97;0,09241195;Axolotl;Ambystoma mexicanum;3,143495473;9;CNTLN;17395157;0,00166943;hg38
72;cg20408638;;37;0;0;TxEnh7;0,313894927;0,001742338;0,103669562;97;0,092488868;Axolotl;Ambystoma mexicanum;3,130963543;8;TNKS;9679769;0,001742338;hg38
73;cg11755934;;38;0;0;TxEnh2;0,313744458;0,001751744;0,103669562;97;0,092498557;Axolotl;Ambystoma mexicanum;3,129382067;19;URI1;30003972;0,001751744;hg38
74;cg26157931;;39;0;0;EnhA7;0,313100944;0,00179249;0,103669562;97;0,092539944;Axolotl;Ambystoma mexicanum;3,122619952;7;LOC105375304;26372308;0,00179249;hg38
75;cg02434126;36;;0;0;ReprPC2;-0,313024608;0,00179738;0,103669562;97;0,092544847;Axolotl;Ambystoma mexicanum;-3,121817956;17;MRM1;36655795;0,00179738;hg38
76;cg25214099;;40;0;0;TxEx2;0,312065872;0,001859831;0,103723077;97;0,092606334;Axolotl;Ambystoma mexicanum;3,111748068;8;HMBOX1;28970173;0,001859831;hg38
77;cg25539759;37;;0;0;TxEx1;-0,311987691;0,00186501;0,103723077;97;0,09261134;Axolotl;Ambystoma mexicanum;-3,110927139;13;ARGLU1;106559508;0,00186501;hg38
78;cg03601723;38;;0;1;BivProm2;-0,311641736;0,00188808;0,103723077;97;0,092633475;Axolotl;Ambystoma mexicanum;-3,107294862;10;PAX2;100715900;0,00188808;hg38
79;cg14305407;39;;0;0;TxEnh4;-0,311410179;0,001903665;0,103723077;97;0,092648277;Axolotl;Ambystoma mexicanum;-3,104864037;7;AMZ1;2731530;0,001903665;hg38
80;cg05328510;40;;0;0;BivProm3;-0,311195833;0,001918195;0,103723077;97;0,092661969;Axolotl;Ambystoma mexicanum;-3,102614163;18;MIR4527;47594875;0,001918195;hg38
81;cg10725603;41;;0;0;Quies2;-0,308946252;0,002076851;0,110915671;97;0,092805099;Axolotl;Ambystoma mexicanum;-3,079016565;6;KHDRBS2;61679533;0,002076851;hg38
82;cg07658653;;41;0;0;Tx8;0,308178018;0,002133687;0,112561373;97;0,09285374;Axolotl;Ambystoma mexicanum;3,070964243;2;LOC100132215;62967322;0,002133687;hg38
83;cg01171212;;42;0;1;BivProm2;0,307046531;0,002219954;0,114802776;97;0,09292516;Axolotl;Ambystoma mexicanum;3,059110232;2;HOXD3;176171708;0,002219954;hg38
84;cg09793883;42;;0;1;BivProm2;-0,306926964;0,002229252;0,114802776;97;0,092932692;Axolotl;Ambystoma mexicanum;-3,057857986;1;LINC02609;90835002;0,002229252;hg38
85;cg17527148;;43;0;0;EnhA18;0,305839508;0,002315437;0,114916569;97;0,093001059;Axolotl;Ambystoma mexicanum;3,046472429;5;RANBP17;171205524;0,002315437;hg38
86;cg19115985;43;;0;0;EnhWk4;-0,30577218;0,002320871;0,114916569;97;0,093005284;Axolotl;Ambystoma mexicanum;-3,045767721;9;PSAT1;78526270;0,002320871;hg38
87;cg22377555;44;;0;0;EnhA17;-0,305686019;0,002327841;0,114916569;97;0,093010689;Axolotl;Ambystoma mexicanum;-3,044865924;2;BCL11A;60535086;0,002327841;hg38
88;cg18913399;;44;0;0;EnhWk6;0,305415321;0,002349862;0,114916569;97;0,093027661;Axolotl;Ambystoma mexicanum;3,042032946;4;LEF1;108092157;0,002349862;hg38
89;cg25229850;45;;0;0;EnhWk8;-0,305239236;0,002364287;0,114916569;97;0,093038693;Axolotl;Ambystoma mexicanum;-3,040190352;9;CNTLN;17332620;0,002364287;hg38
90;cg25785694;;45;0;0;EnhWk3;0,3046489;0,002413231;0,115992251;97;0,093075632;Axolotl;Ambystoma mexicanum;3,034014114;2;LINC01798;66689072;0,002413231;hg38
91;cg25893293;46;;0;0;Tx7;-0,304276567;0,002444569;0,116207299;97;0,093098894;Axolotl;Ambystoma mexicanum;-3,030119631;15;ADAM10;58640827;0,002444569;hg38
92;cg26337676;47;;0;0;ReprPC8;-0,303280511;0,002530212;0,118630856;97;0,093160982;Axolotl;Ambystoma mexicanum;-3,019704808;23;FRMPD4;12721637;0,002530212;hg38
93;cg18584182;;46;0;0;Acet2;0,303050152;0,002550399;0,118630856;97;0,093175312;Axolotl;Ambystoma mexicanum;3,017296904;15;LINC00924;95550611;0,002550399;hg38
94;cg24773146;48;;0;1;ReprPC1;-0,302069289;0,002637988;0,119053146;97;0,093236208;Axolotl;Ambystoma mexicanum;-3,007047236;13;SOX1-OT;112062134;0,002637988;hg38
95;cg09140178;49;;0;0;EnhA12;-0,301908919;0,002652563;0,119053146;97;0,093246146;Axolotl;Ambystoma mexicanum;-3,005371903;5;LINC02162;3326104;0,002652563;hg38
96;cg10402101;;47;0;0;PromF5;0,301871214;0,002656;0,119053146;97;0,093248481;Axolotl;Ambystoma mexicanum;3,004978038;18;TCF4;55587100;0,002656;hg38
97;cg03665107;50;;0;0;PromF5;-0,301722874;0,002669562;0,119053146;97;0,093257668;Axolotl;Ambystoma mexicanum;-3,003428523;17;PPP1R1B;39618466;0,002669562;hg38
98;cg17201390;51;;0;0;EnhWk8;-0,300532039;0,002780713;0,122744649;97;0,093331249;Axolotl;Ambystoma mexicanum;-2,990993654;2;PABPC1P2;146041497;0,002780713;hg38
99;cg22763089;52;;0;0;EnhWk4;-0,299725081;0,002858379;0,124898473;97;0,093380946;Axolotl;Ambystoma mexicanum;-2,98257148;1;ESRRG;216550373;0,002858379;hg38
100;cg25609272;;48;0;0;EnhWk4;0,298848187;0,002944981;0,127395762;97;0,093434798;Axolotl;Ambystoma mexicanum;2,97342322;8;LINC00251;65189912;0,002944981;hg38
101;cg02473887;53;;0;0;TxEx2;-0,29813795;0,003016843;0,128836519;97;0,0934783;Axolotl;Ambystoma mexicanum;-2,966016526;12;GATC;120462080;0,003016843;hg38
102;cg02745872;;49;0;1;EnhA17;0,297933176;0,003037852;0,128836519;97;0,093490823;Axolotl;Ambystoma mexicanum;2,963881531;6;FOXP4;41555782;0,003037852;hg38
103;cg20211561;54;;0;0;Tx5;-0,297609428;0,003071336;0,128991954;97;0,093510604;Axolotl;Ambystoma mexicanum;-2,960506543;11;FAM168A;73419916;0,003071336;hg38
104;cg18324267;;50;0;0;Tx2;0,296698127;0,003167373;0,131746306;97;0,09356617;Axolotl;Ambystoma mexicanum;2,951009337;1;LHX4-AS1;180372996;0,003167373;hg38
105;cg14670966;55;;0;0;EnhA18;-0,29494162;0,003360114;0,136338628;97;0,093672792;Axolotl;Ambystoma mexicanum;-2,932715708;1;LINC01653;218034627;0,003360114;hg38
106;cg21090817;;51;0;0;BivProm4;0,294816164;0,003374274;0,136338628;97;0,093680383;Axolotl;Ambystoma mexicanum;2,931409712;5;TMEM161B-AS1;88397199;0,003374274;hg38
107;cg06645733;;52;0;0;ReprPC9;0,294231305;0,003440995;0,136338628;97;0,093715729;Axolotl;Ambystoma mexicanum;2,925322385;10;LRMDA;75451501;0,003440995;hg38
108;cg20141509;;53;0;0;EnhA17;0,293992444;0,003468583;0,136338628;97;0,093730145;Axolotl;Ambystoma mexicanum;2,92283677;1;CASZ1;10721374;0,003468583;hg38
109;cg05339574;56;;0;0;EnhA18;-0,293507553;0,003525196;0,136338628;97;0,093759372;Axolotl;Ambystoma mexicanum;-2,917791834;14;NRXN3;78645169;0,003525196;hg38
110;cg14649051;;54;0;0;EnhWk4;0,293389484;0,003539106;0,136338628;97;0,093766481;Axolotl;Ambystoma mexicanum;2,916563593;16;PMFBP1;72221459;0,003539106;hg38
111;cg09825499;;55;0;0;ReprPC5;0,293328977;0,003546253;0,136338628;97;0,093770124;Axolotl;Ambystoma mexicanum;2,915934176;11;NRXN2;64668586;0,003546253;hg38
112;cg17975449;;56;0;0;EnhWk4;0,293239964;0,003556791;0,136338628;97;0,093775481;Axolotl;Ambystoma mexicanum;2,915008267;15;SPATA8-AS1;96747027;0,003556791;hg38
113;cg08629536;;57;0;0;EnhA17;0,293200826;0,003561434;0,136338628;97;0,093777835;Axolotl;Ambystoma mexicanum;2,914601171;2;MRPS9;105081078;0,003561434;hg38
114;cg05664895;57;;0;0;HET6;-0,292605441;0,003632727;0,137847988;97;0,09381362;Axolotl;Ambystoma mexicanum;-2,908409159;5;MIR218-2;168768168;0,003632727;hg38
115;cg02136812;;58;0;0;EnhWk2;0,291803337;0,003730792;0,140338153;97;0,093861713;Axolotl;Ambystoma mexicanum;2,900070082;1;PBX1;164699900;0,003730792;hg38
116;cg22201504;58;;0;0;BivProm2;-0,291308614;0,003792451;0,141427726;97;0,09389131;Axolotl;Ambystoma mexicanum;-2,894928303;23;ZIC3;137568960;0,003792451;hg38
117;cg05132365;;59;0;0;EnhA17;0,290376994;0,003911041;0,143923058;97;0,093946909;Axolotl;Ambystoma mexicanum;2,885249041;2;CAMKMT;44706043;0,003911041;hg38
118;cg20670041;;60;0;0;TxEx2;0,290262009;0,003925906;0,143923058;97;0,093953759;Axolotl;Ambystoma mexicanum;2,884054685;5;KDM3B;138393368;0,003925906;hg38
119;cg17715469;;61;0;0;TxWk2;0,28967301;0,004002842;0,145510373;97;0,093988804;Axolotl;Ambystoma mexicanum;2,877937725;23;PDZD4;153803468;0,004002842;hg38
120;cg13320676;;62;0;0;ReprPC4;0,288768273;0,004123645;0,146614805;97;0,094042498;Axolotl;Ambystoma mexicanum;2,86854505;10;DRGX;49364497;0,004123645;hg38
121;cg07184727;59;;0;0;EnhA11;-0,288732711;0,004128459;0,146614805;97;0,094044605;Axolotl;Ambystoma mexicanum;-2,868175941;6;LOC101927082;51284311;0,004128459;hg38
122;cg09723068;60;;0;0;TxEnh5;-0,288630934;0,004142264;0,146614805;97;0,094050634;Axolotl;Ambystoma mexicanum;-2,867119602;4;PDGFRA;54001836;0,004142264;hg38
123;cg23597056;;63;0;0;EnhA17;0,288244039;0,004195122;0,146614805;97;0,094073532;Axolotl;Ambystoma mexicanum;2,863104488;17;CDK12;39563151;0,004195122;hg38
124;cg04181061;;64;0;0;EnhWk5;0,288189026;0,004202686;0,146614805;97;0,094076786;Axolotl;Ambystoma mexicanum;2,862533638;14;LINC00618;96965273;0,004202686;hg38
125;cg07374022;61;;0;0;ReprPC4;-0,287735926;0,004265455;0,147614096;97;0,094103559;Axolotl;Ambystoma mexicanum;-2,857832519;3;SCN5A;38614022;0,004265455;hg38
126;cg06649032;;65;0;0;TxWk1;0,287266625;0,004331348;0,148704813;97;0,094131245;Axolotl;Ambystoma mexicanum;2,852964373;5;AP3B1;78032576;0,004331348;hg38
127;cg03532626;;66;0;0;TxEx1;0,286781896;0,004400359;0,149884566;97;0,094159794;Axolotl;Ambystoma mexicanum;2,847937317;3;CTNNB1;41225406;0,004400359;hg38
128;cg01980251;;67;0;0;PromF2;0,28593414;0,004523415;0,152872379;97;0,094209607;Axolotl;Ambystoma mexicanum;2,839148121;4;RUFY3;70722667;0,004523415;hg38
129;cg19549330;62;;0;0;Tx8;-0,283989591;0,004817336;0,161543611;97;0,094323311;Axolotl;Ambystoma mexicanum;-2,819001025;8;OXR1;106737577;0,004817336;hg38
130;cg07270839;63;;0;0;TxEnh5;-0,283018583;0,004970376;0,163810223;97;0,094379798;Axolotl;Ambystoma mexicanum;-2,808947434;2;BCL11A;60460435;0,004970376;hg38
131;cg09450031;;68;0;0;EnhA17;0,28295319;0,004980837;0,163810223;97;0,094383595;Axolotl;Ambystoma mexicanum;2,808270529;21;C21orf62-AS1;32918929;0,004980837;hg38
132;cg14333389;;69;0;0;EnhWk4;0,282617274;0,005034879;0,163810223;97;0,094403087;Axolotl;Ambystoma mexicanum;2,804793702;10;LOC103344931;112818928;0,005034879;hg38
133;cg19980763;64;;0;0;Acet5;-0,282232602;0,005097406;0,163810223;97;0,09442538;Axolotl;Ambystoma mexicanum;-2,800812891;8;LINC01111;76460623;0,005097406;hg38
134;cg09102690;65;;0;0;ReprPC7;-0,282224821;0,005098678;0,163810223;97;0,09442583;Axolotl;Ambystoma mexicanum;-2,80073237;17;ASIC2;33111977;0,005098678;hg38
135;cg13163842;;70;0;1;BivProm4;0,282142607;0,005112134;0,163810223;97;0,094430591;Axolotl;Ambystoma mexicanum;2,799881669;4;MAB21L2;150583084;0,005112134;hg38
136;cg15022739;66;;0;0;ReprPC9;-0,281538142;0,00521204;0,165783509;97;0,094465549;Axolotl;Ambystoma mexicanum;-2,793628001;18;CELF4;37243082;0,00521204;hg38
137;cg27020803;;71;0;0;EnhWk1;0,281298648;0,005252101;0,165838362;97;0,094479378;Axolotl;Ambystoma mexicanum;2,791150732;7;AUTS2;70171753;0,005252101;hg38
138;cg26447634;67;;0;0;Tx6;-0,280565181;0,005376499;0,16853611;97;0,09452166;Axolotl;Ambystoma mexicanum;-2,78356562;6;STXBP5;147314011;0,005376499;hg38
139;cg09783341;;72;0;0;EnhA19;0,28006344;0,005463096;0,169785023;97;0,09455052;Axolotl;Ambystoma mexicanum;2,77837836;4;LRBA;150315380;0,005463096;hg38
140;cg14984405;;73;0;0;TxEnh1;0,2798813;0,005494838;0,169785023;97;0,094560983;Axolotl;Ambystoma mexicanum;2,776495593;8;EXT1;117837190;0,005494838;hg38
141;cg08192897;;74;0;0;EnhA18;0,279288634;0,005599259;0,171784484;97;0,094594984;Axolotl;Ambystoma mexicanum;2,770370353;5;RANBP17;171205535;0,005599259;hg38
142;cg00156720;;75;0;0;EnhWk4;0,278866109;0,005674775;0,172678373;97;0,09461918;Axolotl;Ambystoma mexicanum;2,766004536;15;SPATA8-AS1;96747008;0,005674775;hg38
143;cg08752411;;76;0;0;EnhA17;0,278680513;0,00570823;0,172678373;97;0,094629797;Axolotl;Ambystoma mexicanum;2,764087099;18;ZNF521;25113367;0,00570823;hg38
144;cg14920842;68;;0;0;TxEx2;-0,278068425;0,005819809;0,17483112;97;0,09466476;Axolotl;Ambystoma mexicanum;-2,75776462;11;ZBTB44;130236959;0,005819809;hg38
145;cg09360996;69;;0;0;EnhA2;-0,277665783;0,005894258;0,175846475;97;0,094687718;Axolotl;Ambystoma mexicanum;-2,753606546;1;PROX1;213996654;0,005894258;hg38
