"CpG","cor_cpg","pvalueStudent","qvalueStudent","SE","Z_cpg","CHR","Gene","Single_gene","Tissue"
"cg23844872",0.318037209139746,0.184527066683266,0.55882860499583,0.218003712545673,1.32694442682205,4,"CXXC4",NA,"Limb"
"cg19847683",0.096686463434033,0.693758496672255,0.729017227238184,0.240268335992536,0.393759650815002,4,"CXXC4",NA,"Limb"
"cg15292196",0.0965243713813745,0.694248278017039,0.729017227238184,0.240275931708885,0.393096406626115,4,"CXXC4-AS1",NA,"Limb"
"cg16775971",-0.000806133732411646,0.997386708261131,0.789267992562943,0.24253546742417,-0.00327528133715804,4,"CXXC4-AS1",NA,"Limb"
"cg20422807",-0.16948471505457,0.487897412820483,0.667962005294113,0.235568772560215,-0.693656881366157,3,"DLG1","yes","Limb"
"cg17298239",-0.280526979383355,0.244699556892078,0.590366039651743,0.223449190366069,-1.16332033826189,18,"DLGAP1","yes","Limb"
"cg11758048",0.168147238875016,0.491387949447697,0.66867290590994,0.235678295511321,0.688102955499547,18,"DOK6","yes","Limb"
"cg09609922",0.493740420785795,0.0316782517091166,0.34904685835961,0.183410386623064,2.14844713562163,3,"EIF1B",NA,"Limb"
"cg04477970",-0.213922314699671,0.379181406228146,0.633140648307838,0.231436526230294,-0.879405582705286,3,"EIF1B",NA,"Limb"
"cg00133237",-0.160841572241024,0.510666865667554,0.674648905274524,0.236261225661204,-0.657799671264359,3,"EIF1B",NA,"Limb"
"cg22237674",0.237290247345855,0.32798959483064,0.620775108466145,0.228879253699248,0.978171327692893,14,"EIF5","yes","Limb"
"cg15652120",-0.0172013735745834,0.944278417034686,0.779991979155851,0.242463861836522,-0.0698935121775801,12,"ELK3","yes","Limb"
"cg06100991",0.272837358051597,0.258417138160498,0.5955669044918,0.224481218793121,1.1301402350587,4,"ELOVL6","yes","Limb"
"cg11630053",-0.262801245508806,0.27703434076357,0.600608124236113,0.225785024660764,-1.08700558656142,14,"EML5","yes","Limb"
"cg22751608",0.401618882519956,0.0883075801964292,0.470080860350407,0.203415180050785,1.70439359243324,2,"EPC2",NA,"Limb"
"cg19537233",0.0853878564947593,0.728167159810431,0.734750730559756,0.240767276927211,0.347564647794029,2,"EPC2",NA,"Limb"
"cg08123457",0.23787426720838,0.326765085441319,0.620775108466145,0.228811948725846,0.980650573821527,19,"ERCC1",NA,"Limb"
"cg25354760",0.0103265243917777,0.966532759026178,0.783300964495756,0.242509761739174,0.0419572733528428,19,"ERCC1",NA,"Limb"
"cg09789157",0.0397965379388055,0.87149821620124,0.765313710274442,0.242151505739928,0.161755729965228,12,"FBXL14","yes","Limb"
"cg01700051",0.013984128439333,0.954688898712842,0.78222468098316,0.242488195776458,0.05681960239104,3,"FOXP1","yes","Limb"
"cg15723244",0.252576162437778,0.29683320525492,0.608870678278194,0.227063133272982,1.04324852370063,7,"FZD1",NA,"Limb"
"cg07648871",0.205346837953182,0.399026233172147,0.640113000960975,0.232308546788476,0.843361614283556,7,"FZD1",NA,"Limb"
"cg00740694",-0.601413812137577,0.00645265377487482,0.238745917853221,0.154810835454774,-2.7238462506626,17,"FZD2","yes","Limb"
"cg23231910",0.626793300119685,0.00408016077445176,0.195704699114181,0.147250692573301,2.8718968852264,2,"FZD7","yes","Limb"
"cg21411075",0.0153068450930257,0.950407860148438,0.781919536299161,0.242478799059029,0.0621946032573805,15,"GABPB1","yes","Limb"
"cg20546778",-0.0688270148482664,0.779497143962862,0.749073617781981,0.241386695466474,-0.279974402135106,8,"GDAP1","yes","Limb"
"cg18013240",0.31956154811265,0.182315160716138,0.558012911230281,0.21776798813718,1.33366045389227,17,"GNA13","yes","Limb"
"cg06147822",-0.190416656427216,0.434894433277925,0.651507782185549,0.233741646337451,-0.780843691526116,20,"GNAS",NA,"Limb"
"cg09598225",0.105933863556398,0.666013993912608,0.724210378740224,0.239813894266628,0.43162498828796,20,"GNAS",NA,"Limb"
"cg06319737",0.0623216427799233,0.799914833043367,0.751263317982049,0.241593619783143,0.253457326756763,20,"GNAS",NA,"Limb"
"cg17653914",0.0238984149225179,0.922637454597496,0.77516571510321,0.242397104637471,0.0971119958277454,20,"GNAS",NA,"Limb"
"cg15769694",0.123362373672366,0.614860481930905,0.707723325782028,0.23884465113949,0.503147629359492,3,"GSK3B","yes","Limb"
"cg23133047",-0.170748856827822,0.484609476183423,0.667232951016982,0.235464457146075,-0.698908082290147,14,"HECTD1","yes","Limb"
"cg17542851",0.098172598042563,0.689273394479018,0.729017227238184,0.240198100878197,0.399841320299718,6,"HIVEP2","yes","Limb"
"cg16109955",0.0619404919504897,0.801115106780533,0.751263317982049,0.24160510690475,0.251904208207429,8,"HNF4G","yes","Limb"
"cg23936031",0.344805419502673,0.148257450783174,0.538521102317729,0.213700376048356,1.44571394719097,7,"HOXA-AS3",NA,"Limb"
"cg23242411",0.135669541236286,0.579720141191139,0.700744800030215,0.238071459892248,0.553793552672398,7,"HOXA-AS3",NA,"Limb"
"cg04317399",-0.0979677638643213,0.689890991578307,0.729017227238184,0.240207845050067,-0.399003002964194,7,"HOXA-AS3",NA,"Limb"
"cg06493080",0.629778464291731,0.00385611979456677,0.195263211319928,0.146340923736088,2.88969808323533,17,"HOXB7","yes","Limb"
"cg03260249",-0.473081994612162,0.0407852555876404,0.379928189992915,0.188254557814657,-2.04570650267244,17,"HOXB-AS1",NA,"Limb"
"cg14333709",0.0888108207369671,0.717686789403314,0.732985684404258,0.240622658792886,0.361552067269467,17,"HOXB-AS1",NA,"Limb"
"cg20589055",-0.107117973735421,0.662490285880446,0.723473287189438,0.239752708143326,-0.436477547575459,1,"ID3","yes","Limb"
"cg22159540",-0.422284190622001,0.0716925390084415,0.440581689265836,0.199285717359625,-1.80106561228077,7,"IGF2BP3","yes","Limb"
"cg25722551",-0.00638490908287273,0.979303735634786,0.785510992161049,0.242525737570986,-0.0259418301407157,1,"IRF2BP2","yes","Limb"
"cg14045854",0.293010476785632,0.223437418665881,0.574686418886981,0.221712695113629,1.2174385094521,2,"IRS1","yes","Limb"
"cg25728835",-0.160499635130664,0.51157790759861,0.674648905274524,0.236287875107972,-0.65638271731186,13,"IRS2","yes","Limb"
"cg27579480",-0.184934237074077,0.448476144910571,0.653318552170335,0.234240743665922,-0.757957969338024,19,"JUND","yes","Limb"
"cg11499678",0.366470455531488,0.122776119968293,0.513900184296906,0.209962946339231,1.54322530336211,2,"KLF7","yes","Limb"
"cg18987683",0.441843886649806,0.0582227644667761,0.415503077728426,0.195186360211093,1.89401691685332,3,"KPNA4",NA,"Limb"
"cg15062281",0.0547841643322045,0.823727413956433,0.754975519668962,0.241807701734313,0.222753431064631,3,"KPNA4",NA,"Limb"
"cg17173497",0.61994470106832,0.00463483026170733,0.208677928648292,0.149321560862288,2.83137529815951,4,"LDB2","yes","Limb"
"cg17127214",0.34121551057332,0.152808921057265,0.540032207674244,0.21429768130469,1.42967986746506,2,"LINC01798",NA,"Limb"
"cg19961864",-0.0713812651082904,0.771517271030736,0.748269663211641,0.241299836902068,-0.290390813245017,21,"LINC02246",NA,"Limb"
"cg26080060",0.024312554690344,0.921300750850321,0.77516571510321,0.242392262151837,0.098795362272366,21,"LINC02246",NA,"Limb"
"cg09595108",-0.403292298229392,0.0868660242151199,0.466426632231245,0.203088496444574,-1.71216630951625,1,"LMO4",NA,"Limb"
"cg06491768",-0.224923889860186,0.354549365233199,0.625112215433141,0.230265564353069,-0.925801081144219,1,"LMO4",NA,"Limb"
"cg20163753",0.147271418202497,0.547403087611563,0.691462332666631,0.237275301244331,0.601656085034181,1,"LMO4",NA,"Limb"
"cg12400088",0.446077933875866,0.0555772740868306,0.411483320114993,0.194274546820285,1.91433571244016,2,"LOC101929512",NA,"Limb"
"cg08695077",0.310618640896796,0.195549059782114,0.566184470303792,0.219134832324863,1.29433694678749,2,"LOC101929512",NA,"Limb"
"cg25517207",0.276098644675314,0.252541406365257,0.593629426732547,0.224047022387419,1.14419830389883,2,"LOC101929512",NA,"Limb"
"cg08042501",0.116426388658505,0.635031037534625,0.715550008867876,0.239248029421066,0.474657608755799,2,"LOC101929512",NA,"Limb"
"cg17651973",0.110214230478484,0.653308541664231,0.71976315082342,0.239589501967234,0.449170672901993,2,"LOC101929512",NA,"Limb"
"cg19889017",-0.021072086473261,0.931765016027946,0.775921117228256,0.242427931256776,-0.0856243814652618,2,"LOC101929512",NA,"Limb"
"cg15265788",-0.0189977498157309,0.938469292064629,0.778513606768478,0.242448090412961,-0.0771939027639005,2,"LOC101929512",NA,"Limb"
"cg02785457",-0.0160063027660357,0.948144548903833,0.781089329980521,0.242473486990039,-0.0650369898994175,2,"LOC101929512",NA,"Limb"
"cg23653728",0.0075700263821942,0.97546327001106,0.784645533490659,0.242521726459719,0.030757079246105,2,"LOC101929512",NA,"Limb"
"cg01198746",-0.255190991104506,0.29169036375241,0.606128537986903,0.226741112876304,-1.05442066823706,15,"LOC105370943",NA,"Limb"
"cg09084199",0.221677206523524,0.361720976638396,0.627196489232132,0.230617234300294,0.912090694220255,16,"MAF","yes","Limb"
"cg06021159",-0.364608765700113,0.12483440749826,0.515301476717943,0.210293047693812,-1.53479412042545,1,"MAN1A2","yes","Limb"
"cg01166712",0.492283233600864,0.0322633884094394,0.349532051480316,0.183758866910419,2.14113207901809,6,"MARCKS","yes","Limb"
"cg04104679",0.413206994024761,0.0786766926984225,0.451746914648264,0.201125087588508,1.75841635284032,5,"MAST4","yes","Limb"
"cg13016062",0.180225799868967,0.460312643549705,0.656790592526462,0.234657743194889,0.738332134725762,16,"MAZ","yes","Limb"
"cg24333845",0.108960161542849,0.657021745589296,0.720494244496759,0.23965616525978,0.444028822590446,3,"MBNL1","yes","Limb"
"cg12285520",0.359175508989049,0.130980889849584,0.520973144872456,0.211246820438169,1.51024511857656,3,"MECOM","yes","Limb"
"cg07493901",0.246916654719234,0.308151572015817,0.616887222634419,0.227748753218417,1.01910826245296,17,"MED13",NA,"Limb"
"cg13613666",0.196933429606813,0.41903528634375,0.646984906143711,0.23312942029209,0.808096058664063,17,"MED13",NA,"Limb"
"cg23398076",0.141508910426868,0.563353081117662,0.697156629551885,0.237678904508539,0.577868237205189,2,"MEIS1","yes","Limb"
"cg00464803",0.490971950184347,0.032797089212655,0.353995430689765,0.184071574450263,2.13455851410809,15,"MEIS2",NA,"Limb"
"cg09890636",-0.204561690461593,0.400871047851421,0.640405741748794,0.23238660412731,-0.840066596287221,15,"MEIS2",NA,"Limb"
"cg02886263",-0.150075388618414,0.539716224533086,0.689007511183856,0.237073086766872,-0.613242170874824,16,"MIR365A",NA,"Limb"
"cg00855137",0.0921413233607527,0.707535631154429,0.730426871344263,0.240476491887301,0.375167860319595,11,"MIR8068",NA,"Limb"
"cg01193810",-0.37207682325024,0.116723300692598,0.508588246335819,0.208958711182895,-1.56867665590264,12,"MIRLET7I",NA,"Limb"
"cg02036957",-0.30016096049519,0.211817210602792,0.573877028628583,0.220683989306798,-1.24858415525538,12,"MIRLET7I",NA,"Limb"
"cg14486049",-0.00253062039295249,0.991796455144251,0.78822992390236,0.242534071828592,-0.0102817998983868,12,"MIRLET7I",NA,"Limb"
"cg20867091",-0.128007936934423,0.601496031362774,0.704520466167879,0.238561428543185,-0.522250353067862,17,"MRM1","yes","Limb"
"cg26736720",-0.212650366206145,0.382089449399113,0.634474312996064,0.231568120840795,-0.874052893379129,17,"MRPS23","yes","Limb"
"cg12956982",0.589754454480196,0.00786817589291307,0.240403555175989,0.158179232510704,2.65767487056888,3,"MSL2",NA,"Limb"
"cg00809740",-0.0297181071407164,0.903873228017784,0.773393314276929,0.242321425844699,-0.120769980626627,3,"MSL2",NA,"Limb"
"cg00331900",-0.115497425845875,0.637751747584585,0.716546452823963,0.239300283381697,-0.470844550691397,12,"NAA25","yes","Limb"
"cg00811020",-0.0818927767803768,0.738916183470409,0.738506276866419,0.240909077599097,-0.33328894495492,14,"NAA30","yes","Limb"
"cg14537141",-0.237984864571277,0.326533501127751,0.620775108466145,0.228799184375411,-0.981120137258735,19,"NFIX","yes","Limb"
"cg26249364",0.229381545043874,0.344836920837225,0.620775108466145,0.229774396490597,0.944651313100885,17,"NOG","yes","Limb"
"cg03927473",-0.449110118010281,0.0537393281300965,0.40749540074385,0.193616214181077,-1.92893181035761,20,"NOL4L","yes","Limb"
"cg05945291",0.439402936454585,0.0597904370373703,0.418778544018846,0.195708073647569,1.88233579727968,5,"NR2F1-AS1",NA,"Limb"
"cg18526971",0.386288470885493,0.102338829445025,0.489046711888893,0.206344754297556,1.63361922049859,5,"NR2F1-AS1",NA,"Limb"
"cg20659048",0.338539552537839,0.156263813128186,0.541970367599032,0.214738852642138,1.4177498407704,5,"NR2F1-AS1",NA,"Limb"
"cg06259996",-0.104379162413586,0.670650697938801,0.72626322952705,0.239893197086278,-0.425255131735489,5,"NR2F1-AS1",NA,"Limb"
"cg26472530",-0.0974585198925123,0.691427229769685,0.729017227238184,0.240231982112265,-0.396918949726433,5,"NR2F1-AS1",NA,"Limb"
"cg06840251",0.0448035966307225,0.855483317320699,0.761043824304582,0.24204876817325,0.182126672284293,5,"NR2F1-AS1",NA,"Limb"
"cg22208258",-0.0306270441336177,0.900946728871179,0.772840629416329,0.242308122780137,-0.124465482408072,5,"NR2F1-AS1",NA,"Limb"
"cg05086365",0.319978821214656,0.18171279985359,0.557883753043926,0.217703264354187,1.33549986370983,15,"NR2F2",NA,"Limb"
"cg10040836",0.294758956902583,0.220558520044487,0.573877028628583,0.221463440483389,1.22504432581945,15,"NR2F2",NA,"Limb"
"cg09738906",0.282852241485281,0.24064478710689,0.587963659005652,0.223131467641927,1.17337667385516,15,"NR2F2",NA,"Limb"
"cg00367497",0.223648489608706,0.357356811254556,0.62716421431565,0.230404321245938,0.920413318722341,15,"NR2F2",NA,"Limb"
"cg15221004",0.220900342544253,0.363449150527932,0.627852374096702,0.230700623518792,0.90881241799523,15,"NR2F2",NA,"Limb"
"cg23474846",0.100456943701604,0.682398668989125,0.72881395507267,0.240088053119871,0.409192130615364,15,"NR2F2",NA,"Limb"
"cg18628648",-0.0327065208035632,0.894256107085855,0.771408896230405,0.242276180675648,-0.132920685897019,15,"NR2F2",NA,"Limb"
"cg17526513",0.0408806644903335,0.868026400050417,0.764769989276887,0.242130292531925,0.166165892560763,19,"NR2F6",NA,"Limb"
"cg05389467",0.439928730087971,0.059450096997115,0.418778544018846,0.195595938030904,1.88484996471596,12,"NUAK1","yes","Limb"
"cg08310277",0.186164542376006,0.445409403152996,0.653242519566845,0.23413001043778,0.763090537070064,23,"OGT","yes","Limb"
"cg10478876",0.195872096260476,0.421596831289967,0.646984906143711,0.233230532812865,0.803653993076854,11,"OSBP","yes","Limb"
"cg16299341",-0.408184101495877,0.0827509318377528,0.452908478774961,0.202125731174097,-1.73494283038248,1,"OSBPL9","yes","Limb"
"cg13655781",0.026432308518229,0.914462135325014,0.77516571510321,0.242366173414899,0.107411999540262,3,"P2RY1","yes","Limb"
"cg13640160",0.279463424912414,0.246568599797167,0.590915995875467,0.223593639805946,1.15872425756051,8,"PABPC1","yes","Limb"
"cg21596317",0.111993574612698,0.648053413980375,0.718018346907801,0.239493607224177,0.456468087448306,5,"PAM","yes","Limb"
"cg08838510",0.31920497706856,0.182830958607379,0.558012911230281,0.217823229420692,1.33208895717366,6,"PBX2",NA,"Limb"
"cg13910855",0.241013883233909,0.320228617699057,0.620775108466145,0.228447290371662,0.993988188820544,6,"PBX2",NA,"Limb"
"cg13982956",-0.327290978875414,0.17137433642933,0.554215426677705,0.216555358077448,-1.36780112198304,9,"PBX3",NA,"Limb"
"cg00954258",-0.158543361906533,0.516804888595132,0.676834287066738,0.236439250146383,-0.648278420639214,9,"PBX3",NA,"Limb"
"cg00826905",-0.123917830953379,0.613256294710351,0.707530654237052,0.238811338000662,-0.50543079414161,9,"PBX3",NA,"Limb"
"cg17882807",-0.116688589632033,0.634263921326932,0.715550008867876,0.239233204922302,-0.475733963319726,9,"PBX3",NA,"Limb"
"cg24217623",-0.0416690441907159,0.865503134155048,0.763932630209643,0.242114508188639,-0.16937315942018,9,"PBX3",NA,"Limb"
"cg03711808",-0.184432872577878,0.449728995439537,0.653318552170335,0.234285658245285,-0.755866909516258,11,"PCF11","yes","Limb"
"cg03665107",-0.550413619150892,0.0146085358993568,0.301803115824393,0.169058207852435,-2.44194094960061,17,"PPP1R1B","yes","Limb"
"cg21506362",-0.137345558856821,0.575001781716064,0.700439162590034,0.237960480897292,-0.56070041871161,11,"PPP2R5B","yes","Limb"
"cg24831901",-0.122808071573264,0.616463002911197,0.708730728773704,0.238877745803301,-0.500869451808129,2,"PRKCE","yes","Limb"
"cg09019938.2",0.133888406578011,0.584752425661119,0.701073294622384,0.238187905854796,0.546456144710486,10,"PRKG1",NA,"Limb"
"cg09019938.1",0.00143110870735197,0.995360705874225,0.789133171904119,0.242535128305878,0.00581452567843299,10,"PRKG1",NA,"Limb"
"cg04324237",0.137997586674284,0.573170649874077,0.699678374615354,0.237916938139348,0.563388083470464,1,"PRPF38B","yes","Limb"
"cg26589497",0.472513188730311,0.0410617263924927,0.379928189992915,0.188385008050711,2.04290618050274,5,"PURA",NA,"Limb"
"cg01915599",0.356341332498318,0.134270296726563,0.524783759262918,0.211738658677351,1.49747272773586,5,"PURA",NA,"Limb"
"cg12112459",0.296353005372496,0.217955046092161,0.573877028628583,0.221234908593941,1.2319840398534,5,"PURA",NA,"Limb"
"cg19835617",0.245586407047771,0.310849032187671,0.618077158562192,0.227907650688089,1.0134421140603,5,"PURA",NA,"Limb"
"cg07714477",0.244879268022142,0.312288702345065,0.618561386098359,0.227991768693075,1.01043129149549,5,"PURA",NA,"Limb"
"cg22110364",-0.183780660050075,0.451361491099447,0.65362338804631,0.234343904019392,-0.75314715441582,5,"PURA",NA,"Limb"
"cg21139873",0.110746143540301,0.651735933961459,0.718961875075983,0.239560996340709,0.451351914654138,5,"PURA",NA,"Limb"
"cg02205352",0.110011756476623,0.653907526944899,0.71989085601591,0.239600316639702,0.448340429284697,5,"PURA",NA,"Limb"
"cg19972859",-0.106472343976071,0.664410732956038,0.723961155738541,0.239786153870394,-0.433831599738941,5,"PURA",NA,"Limb"
"cg21846632",0.379976001731672,0.108560611475352,0.498566008569129,0.207517904172013,1.60469650497205,6,"QKI","yes","Limb"
"cg01324791",-0.0509088160916242,0.836029506843883,0.757244929514606,0.241907043624363,-0.206974841234473,19,"RAB4B-EGLN2","yes","Limb"
"cg12887144",0.233659785154886,0.335662059562187,0.620775108466145,0.229293932934291,0.962771791946891,8,"RAD54B",NA,"Limb"
"cg17532928",0.0453808458342982,0.853640360717592,0.760761951900088,0.242036142035985,0.184475608050984,8,"RAD54B",NA,"Limb"
"cg21140729",0.128964648345414,0.59875861353655,0.70428244965143,0.238501801498192,0.526186527850396,23,"RAP2C-AS1",NA,"Limb"
"cg15667675",-0.0678292353426168,0.782620152598148,0.750025203663106,0.241419765879444,-0.275906146850949,23,"RAP2C-AS1",NA,"Limb"
"cg16525315",-0.199725119447726,0.412337379598423,0.646061197950686,0.232860849039676,-0.819787287046092,16,"RBBP6","yes","Limb"
"cg20243605",-0.350287648704948,0.141489676873219,0.534137658431727,0.212776155360642,-1.4702661801994,20,"RBM39",NA,"Limb"
"cg10974737",-0.0478022577194373,0.845917640851018,0.75990343067851,0.24198141758919,-0.194329815966662,20,"RBM39",NA,"Limb"
"cg25349226",0.511052756994845,0.0253393313192367,0.34486164376376,0.179191402465535,2.23618994904617,2,"RHOB",NA,"Limb"
"cg22773167",0.233758923327988,0.335451162621129,0.620775108466145,0.229282694067029,0.963192032804797,2,"RHOB",NA,"Limb"
"cg21144428",-0.0048639428419795,0.984233173683416,0.786321425938807,0.242529887143075,-0.0197620725595186,2,"RHOB",NA,"Limb"
"cg19227907",-0.485591169285569,0.0350592827210217,0.362760324435222,0.185346019651726,-2.10767301858529,11,"RIC3","yes","Limb"
"cg01980251",0.592042985233705,0.00757210099374617,0.240403555175989,0.157523275562039,2.67057696549124,4,"RUFY3",NA,"Limb"
"cg08374320",-0.294210835905193,0.221458396192028,0.573877028628583,0.221541737461341,-1.22265932434975,4,"RUFY3",NA,"Limb"
"cg26105485",-0.236240756915451,0.330196837474365,0.620775108466145,0.228999785721126,-0.973717476342538,23,"SAT1",NA,"Limb"
"cg10739156",-0.172077960987098,0.481164383475867,0.666737928190053,0.235353945170191,-0.704431036488581,23,"SAT1",NA,"Limb"
"cg27192328",0.0138227340404879,0.955211343332879,0.78222468098316,0.242489284245264,0.056163769502336,23,"SAT1",NA,"Limb"
"cg16978019",0.397620896087381,0.091822402957002,0.471230574842119,0.204190166209615,1.68586189429278,10,"SKIDA1",NA,"Limb"
"cg18056436",-0.296638108027268,0.21749152782404,0.573877028628583,0.221193904710937,-1.23322581172637,10,"SKIDA1",NA,"Limb"
"cg03846926",-0.244036734798863,0.314009223112482,0.620324913168289,0.228091675902149,-1.00684508893708,10,"SKIDA1",NA,"Limb"
"cg26275174",-0.348827826344487,0.143270347978288,0.53530106514368,0.213023683436731,-1.46372044121461,9,"SMARCA2",NA,"Limb"
"cg23510032",-0.254810430262608,0.292435446192886,0.606128537986903,0.22678818578394,-1.05279393296773,9,"SMARCA2",NA,"Limb"
"cg03308445",0.464081049325658,0.0453315214580103,0.392420683915195,0.190300431495556,2.00156513914636,12,"SMARCC2",NA,"Limb"
"cg17069848",0.0232168123811603,0.92483786888608,0.775281318003146,0.242404893392255,0.0943415198702747,12,"SMARCC2",NA,"Limb"
"cg20778365",0.194081673954623,0.425936888565632,0.648534217995134,0.233399866803269,0.796163708250025,7,"SMARCD3","yes","Limb"
"cg15167046",0.272262255331604,0.259462128629822,0.596109625986166,0.224557250866705,1.12766333285861,17,"SMG6","yes","Limb"
"cg04241421",0.166928525115591,0.494579111903671,0.669050474475196,0.235777337709388,0.683043885701439,2,"SNX17",NA,"Limb"
"cg15292174",0.0617875099484462,0.801596979216369,0.751263317982049,0.241609697657245,0.2512808507069,2,"SNX17",NA,"Limb"
"cg15478432",0.242515141592625,0.317130756517272,0.620775108466145,0.228271233278753,1.00037150101754,5,"SNX18",NA,"Limb"
"cg13343932",0.214012356403993,0.378976014865124,0.633140648307838,0.231427180855564,0.879784588827484,17,"SOCS3",NA,"Limb"
"cg12564910",-0.0102900223610922,0.966650995753719,0.783300964495756,0.242509944258345,-0.0418089555583757,17,"SOCS3",NA,"Limb"
"cg12545961",0.0801093447351244,0.744419135852383,0.740050719493928,0.24097915093729,0.326006898398279,6,"SOX4",NA,"Limb"
"cg15004491",0.00602740115923309,0.980462357407649,0.785793696265502,0.242526813822643,0.0244892512469061,6,"SOX4",NA,"Limb"
"cg24375257",0.326508299736824,0.172461386661984,0.55483933307579,0.216679467208443,1.36433744276795,11,"SOX6",NA,"Limb"
"cg04858567",0.249940457378528,0.302072471799873,0.610844198563553,0.227384368215152,1.03199924370012,11,"SOX6",NA,"Limb"
"cg03586106",0.179891932284579,0.46115792889909,0.656790592526462,0.234686903650198,0.736941494260529,11,"SOX6",NA,"Limb"
"cg18680222",0.0168249252310456,0.94549612720221,0.780223820749182,0.242466968510225,0.0683636876902944,11,"SOX6",NA,"Limb"
"cg10536349",-0.279424380711147,0.246637386722544,0.590915995875467,0.223598932255364,-1.15855557337062,17,"SPAG9",NA,"Limb"
"cg17398634",-0.158634029616834,0.516562078704909,0.676834287066738,0.236432275368034,-0.648653945375147,17,"SPAG9",NA,"Limb"
"cg02019798",0.0302038462082421,0.902309146807689,0.773386719587749,0.242314366497599,0.122744850505862,17,"SPAG9",NA,"Limb"
"cg08354308",0.377048911142711,0.111536004098342,0.500861170022237,0.208055334133621,1.591326997333,6,"SRF","yes","Limb"
"cg26151482",0.151141728074346,0.536805890276617,0.687603004735632,0.23699518439776,0.617650284394072,4,"STX18-AS1","yes","Limb"
